"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400000001";"203988581";"155781758";"A01";"1";"1";"3";"1";"2003";"2";"1";" -1";" -1";" -1";" -1";" -1"
"202400000001";"203988582";"155781759";"B01";"1";"1";"1";"1";"1997";"4";"1";" -1";" -1";" -1";" -1";" -1"
"202400000002";"203988579";"155781757";"A01";"10";"3";"3";"2";"1927";"5";"0";" -1";" -1";"3";"3";"1"
"202400000002";"203988580";"155781757";"A01";"1";"1";"1";"1";"1987";"4";"1";"0";" -1";"3";"3";"1"
"202400000003";"203988574";"155781756";"A01";"2";"2";"4";"2";"2007";"5";"8";"0";" -1";" -1";" -1";" -1"
"202400000003";"203988575";"155781756";"A01";"10";"3";"4";"1";"2007";"5";"0";" -1";" -1";"6";"B";"3"
"202400000003";"203988576";"155781756";"A01";"10";"3";"3";"2";"2008";"5";"0";" -1";" -1";"6";"B";"3"
"202400000003";"203988577";"155781756";"A01";"1";"1";"4";"2";"2007";"5";"8";"0";" -1";" -1";" -1";" -1"
"202400000003";"203988578";"155781756";"A01";"10";"3";"1";"1";"2007";"5";"0";" -1";" -1";"6";"B";"3"
"202400000004";"203988573";"155781754";"B01";"1";"1";"4";"1";"1963";"5";"2";"6";" -1";"0";"0";" -1"
"202400000005";"203988569";"155781750";"A01";"1";"1";"4";"1";"1981";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000005";"203988570";"155781751";"B01";"1";"1";"4";"2";"2005";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000005";"203988571";"155781752";"C01";"1";"1";"1";"1";"2000";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000005";"203988572";"155781753";"D01";"1";"1";"4";"2";"1963";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000006";"203988563";"155781748";"A01";"1";"1";"4";"1";"1975";"1";"1";"8";" -1";" -1";" -1";" -1"
"202400000006";"203988564";"155781749";"B01";"2";"2";"1";"1";"1981";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203988565";"155781749";"B01";"4";"2";"1";"1";"1983";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203988566";"155781749";"B01";"3";"2";"1";"1";"1984";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203988567";"155781749";"B01";"5";"2";"1";"1";"2007";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203988568";"155781749";"B01";"1";"1";"1";"1";"1987";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000007";"203988558";"155781746";"A01";"4";"2";"3";"1";"2001";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400000007";"203988559";"155781746";"A01";"2";"2";"3";"1";"2001";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400000007";"203988560";"155781746";"A01";"3";"2";"1";"1";"2003";"5";"1";"0";" -1";" -1";" -1";" -1"
